Test Name,Test Link,Remote Testing,Adaptive/IRT,Test Type,Description,Job Levels,Assessment Length,Tags
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Yes,Yes,CPAB,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.","Mid-Professional,",Approximate Completion Time in minutes = 49,"['Account Management', 'Client Communication', 'Project Management', 'Coordination', 'Client Expectations', 'Leadership', 'Mid-Level', 'Account Executive', 'Account Manager', 'Senior Account Manager']"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes,AKP,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Entry-Level,",Approximate Completion Time in minutes = 36,"['Administrative Assistant', 'Secretary', 'Office Manager', 'Administrative Aide', 'Administrative Associate', 'Entry-Level', 'Mid-Level', 'Clerical Skills', 'Administrative Skills', 'Office Management', 'Customer Service', 'Communication Skills', 'Scheduling', 'Meeting Arrangement', 'Correspondence', 'Office Coordination', 'Greeting Visitors']"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Yes,Yes,ABPS,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 51,"['sales management', 'mid-level', 'front line management', 'financial activities', 'branch management', 'brokerage management', 'risk management', 'insurance management', 'credit department', 'agency manager', 'brokerage manager']"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,,BP,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.","General Population, Graduate, Entry-Level,",Approximate Completion Time in minutes = 30,"['entry-level', 'apprenticeship', 'cognitive ability', 'global', 'multi-national', 'job-focused', 'short assessment']"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,,BP,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.","Entry-Level, General Population, Graduate,",Approximate Completion Time in minutes = 20,"['entry-level', 'apprenticeship', 'job-focused', 'global', 'multi-national', 'short', 'aptitude', 'skills assessment']"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,,ABKP,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","Entry-Level,",Approximate Completion Time in minutes = 35,"['Administrative Assistant', 'Bank', 'Entry-Level', 'Clerical', 'Customer Service', 'Receptionist', 'Communication Skills', 'Office Administration', 'File Management', 'Record Keeping', 'Telephone Skills', 'Collaboration', 'Short Form']"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Yes,,ABP,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.","Entry-Level,",Approximate Completion Time in minutes = 45,"['Bank Collections Agent', 'Entry-Level', 'Call Center', 'Financial Services', 'Multiple Choice Questions', 'Achievement Orientation', 'Dependability', 'Collector Numerical Skills', 'Revenue Recovery', 'Customer Focus', 'Persistence', 'Planfulness', 'Inbound', 'Outbound']"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes,ABPS,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 45,"['Bank Operations', 'Supervisor', 'Entry-Level Leadership', 'Team Leader', 'First Line Supervisor', 'Processing Supervisor', 'Call Center Supervisor', 'Customer Service Supervisor', 'Supervising Hourly Employees', 'Work Schedule Planning', 'Employee Assignment', 'Coaching', 'Attendance', 'Conduct', 'Schedule Adherence', 'Employee Training', 'Prioritization', 'Decision-Making', 'Short Form']"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes,BPSA,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","Entry-Level,",Approximate Completion Time in minutes = 43,"['Bilingual Spanish', 'Reservation Agent', 'Customer Service', 'Hospitality Industry', 'Entry-Level', 'Customer Interaction', 'Spanish Language Proficiency', 'English Language Proficiency', 'Reservation Management', 'Communication Skills', 'Customer Service Representative', 'Reservationist', 'Call Center', 'Data Entry', 'Hotel Services', 'Information Provision']"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes,Yes,PSKBA,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.","Entry-Level,",Approximate Completion Time in minutes = 49,"['Bookkeeping', 'Accounting', 'Auditing', 'Clerk', 'Entry-Level', 'Data Entry', 'Financial Records', 'Numerical Data', 'Accounting Clerk', 'Bookkeeper', 'Accounting Associate', 'Auditing Clerk', 'Accounts Receivable Clerk', 'Financial Data Accuracy', 'Routine Computations']"
